sbd,A00,A01,D01,D07,code,tinh,nam_thi
18014547,,,17.35,,18,Bắc Giang,2020
18014530,,,16.4,,18,Bắc Giang,2020
18014521,,,,,18,Bắc Giang,2020
18014517,,,20.8,,18,Bắc Giang,2020
18014523,24.7,20.2,18.7,20.7,18,Bắc Giang,2020
18014516,,,,,18,Bắc Giang,2020
18014518,,,18.0,,18,Bắc Giang,2020
18014526,,,13.55,,18,Bắc Giang,2020
18014524,,,16.6,,18,Bắc Giang,2020
18014527,24.65,20.9,20.4,21.15,18,Bắc Giang,2020
18014545,,,21.05,,18,Bắc Giang,2020
18014515,23.0,20.25,19.75,20.75,18,Bắc Giang,2020
18014512,,,,,18,Bắc Giang,2020
18014548,19.35,17.7,19.95,18.45,18,Bắc Giang,2020
18014534,,,,,18,Bắc Giang,2020
18014519,24.95,22.299999999999997,20.549999999999997,22.049999999999997,18,Bắc Giang,2020
18014540,,,,,18,Bắc Giang,2020
18014539,,,20.049999999999997,,18,Bắc Giang,2020
18014513,,,15.2,,18,Bắc Giang,2020
18014533,,,19.200000000000003,,18,Bắc Giang,2020
18014537,,,16.400000000000002,,18,Bắc Giang,2020
18014558,,,15.75,,18,Bắc Giang,2020
18014536,,,17.2,,18,Bắc Giang,2020
18014531,19.65,18.85,18.6,18.6,18,Bắc Giang,2020
18014532,,,15.5,,18,Bắc Giang,2020
18014514,,,,,18,Bắc Giang,2020
18014541,25.25,21.8,20.3,22.05,18,Bắc Giang,2020
18014542,,,18.45,,18,Bắc Giang,2020
18014552,,,,,18,Bắc Giang,2020
18014528,,,,,18,Bắc Giang,2020
18014525,,,19.200000000000003,,18,Bắc Giang,2020
18014546,,,14.75,,18,Bắc Giang,2020
18014543,,,17.05,,18,Bắc Giang,2020
18014551,,,17.75,,18,Bắc Giang,2020
18014544,,,22.35,,18,Bắc Giang,2020
18014549,,,,,18,Bắc Giang,2020
18014522,,,,,18,Bắc Giang,2020
18014538,,,,,18,Bắc Giang,2020
18014554,,,,,18,Bắc Giang,2020
18014553,,,17.700000000000003,,18,Bắc Giang,2020
18014550,17.35,16.15,16.9,15.399999999999999,18,Bắc Giang,2020
18014555,,,18.299999999999997,,18,Bắc Giang,2020
18014535,,,16.2,,18,Bắc Giang,2020
18014557,,,,,18,Bắc Giang,2020
18014520,,,19.1,,18,Bắc Giang,2020
18014529,,,17.2,,18,Bắc Giang,2020
18014560,,,18.95,,18,Bắc Giang,2020
18014559,,,,,18,Bắc Giang,2020
18014565,20.6,20.15,19.15,17.65,18,Bắc Giang,2020
18014556,,,,,18,Bắc Giang,2020
18014562,22.7,20.65,19.65,20.65,18,Bắc Giang,2020
18014566,24.65,20.599999999999998,18.85,20.849999999999998,18,Bắc Giang,2020
18014561,,,17.55,,18,Bắc Giang,2020
18014564,,,,,18,Bắc Giang,2020
18014567,22.7,20.049999999999997,19.799999999999997,20.049999999999997,18,Bắc Giang,2020
18014571,,,,,18,Bắc Giang,2020
18014563,,,,,18,Bắc Giang,2020
18014570,,,18.35,,18,Bắc Giang,2020
18014569,,,16.150000000000002,,18,Bắc Giang,2020
18014568,24.5,25.05,24.55,24.05,18,Bắc Giang,2020
18014574,,,16.85,,18,Bắc Giang,2020
18014575,21.25,17.9,19.4,20.15,18,Bắc Giang,2020
18014577,24.7,22.25,20.25,22.25,18,Bắc Giang,2020
18014573,,,17.15,,18,Bắc Giang,2020
18014576,,,15.1,,18,Bắc Giang,2020
18014572,,,17.900000000000002,,18,Bắc Giang,2020
18014578,,,,,18,Bắc Giang,2020
18014579,,,12.3,,18,Bắc Giang,2020
18014582,,,16.6,,18,Bắc Giang,2020
18014581,26.5,21.9,20.65,22.4,18,Bắc Giang,2020
18014580,,,19.65,,18,Bắc Giang,2020
18014591,,,,,18,Bắc Giang,2020
18014584,23.05,22.200000000000003,21.700000000000003,22.450000000000003,18,Bắc Giang,2020
18014588,18.55,17.35,17.85,17.6,18,Bắc Giang,2020
18014589,,,11.4,,18,Bắc Giang,2020
18014590,,,13.850000000000001,,18,Bắc Giang,2020
18014587,,,17.150000000000002,,18,Bắc Giang,2020
18014586,,,19.5,,18,Bắc Giang,2020
18014585,,,17.15,,18,Bắc Giang,2020
18014583,,,23.5,,18,Bắc Giang,2020
18014598,,,17.1,,18,Bắc Giang,2020
18014594,,,16.4,,18,Bắc Giang,2020
18014596,,,14.75,,18,Bắc Giang,2020
18014599,,,14.95,,18,Bắc Giang,2020
18014592,,,,,18,Bắc Giang,2020
18014595,,,15.0,,18,Bắc Giang,2020
18014593,,,18.65,,18,Bắc Giang,2020
18014597,22.0,18.95,18.2,19.45,18,Bắc Giang,2020
18014600,,,,,18,Bắc Giang,2020
18014601,,,15.0,,18,Bắc Giang,2020
18014602,,,,,18,Bắc Giang,2020
18014609,,,14.95,,18,Bắc Giang,2020
18014604,,,15.950000000000001,,18,Bắc Giang,2020
18014605,,,13.05,,18,Bắc Giang,2020
18014603,,,17.55,,18,Bắc Giang,2020
18014612,,,13.45,,18,Bắc Giang,2020
18014606,20.35,18.1,18.6,16.85,18,Bắc Giang,2020
18014610,,,13.350000000000001,,18,Bắc Giang,2020
18014608,,,16.2,,18,Bắc Giang,2020
18014613,,,13.45,,18,Bắc Giang,2020
